2196,Papa to Kiss in the Dark
2686,Blade of the Phantom Master
2430,Tenchi the Movie 2: Daughter of Darkness
4549,Twilight Of The Dark Master
7869,Judge
2748,Darkside Blues
3238,Night Warriors: Darkstalkers' Revenge
8041,Rockman.EXE Movie: Hikari to Yami no Program
8814,Yu Yu Hakusho: Eizou Hakusho
5869,Akakichi no Eleven
7839,Angel Blade
6271,Mazinkaiser: Deathmatch! General Dark
7120,Dark Love
1715,Pokemon: The Rise Of Darkrai
1988,Shina Dark: Kuroki Tsuki no Ou to Souheki no Tsuki no Himegimi
5901,Darker than Black: Kuro no Keiyakusha Special
2883,Legends of the Dark King: A Fist of the North Star Story
1220,Grope: Yami no naka no Kotoritachi
6343,Gunslinger Girl: Il Teatrino OVA
4214,Black God
1505,Hyouka: Motsubeki Mono wa
3481,Sword of the Stranger
6522,Toki no Tabibito: Time Stranger
308,Detective Conan OVA 09: The Stranger in 10 Years...
7777,Sword of the Stranger Pilot
5188,Vampire Hunter D: Bloodlust
8904,Vampire Hunter D
7817,Trinity Blood
3278,Blood: The Last Vampire
8772,Dragon Ball Movie 1: Curse of the Blood Rubies
3938,Blood Royale
1658,Master Keaton
8120,Blood Reign: Curse of the Yoma
9002,Black Blood Brothers
7571,Shion no Ou
7684,JoJo's Bizarre Adventure: Phantom Blood
1142,Black Lagoon: Roberta's Blood Trail
6237,Hakuoki: Record of the Jade Blood
7637,Blood-C
7653,Naruto: Shippuuden Movie 5 - Blood Prison
7801,Blood-C: The Last Dark
2672,Blood Lad
6634,Dragon Age: Dawn of the Seeker
5267,Blood-C: None-None Gekijou
2283,Blood-C: Special Edition
26,Strike the Blood
8780,Blood Lad OVA
6622,Bayonetta: Bloody Fate
7537,Kekkai Sensen
5628,Ghost in the Shell
4961,A Chinese Ghost Story
8408,Yu Yu Hakusho
838,Ghost in the Shell: Stand Alone Complex
8435,Ghost in the Shell 2: Innocence
2445,Ghost in the Shell: Stand Alone Complex 2nd GIG
8562,Ghost Stories
8587,Ghost in the Shell: Stand Alone Complex - Tachikoma na Hibi
7971,Ghost Talker's Daydream
6117,Obake no Q-tarou
2835,Ghost in the Shell: Stand Alone Complex - Solid State Society
2277,Ghost Hunt
344,Ghost in the Shell: Stand Alone Complex - The Laughing Man
1787,Ghost Hound
3542,Soratobu Yuureisen
2919,Ghost in the Shell: Stand Alone Complex - Solid State Society: Uchikomatic Days
1174,Ghost in the Shell: Stand Alone Complex 2nd GIG - Tachikomatic Days
8375,Ghost in the Shell 2.0
9,07-Ghost
8198,Pokemon: Pikachu's Ghost Festival!
1102,Bakemonogatari Recap
4442,O-bake no... Holly
4987,Ghost in the Shell: Stand Alone Complex: Solid State Society 3D
7926,Ghost in the Shell: Stand Alone Complex - Tachikoma na Hibi (TV)
6670,Ghost Messenger
5161,Cat God: Ohanami Ghostbusters
7853,Ghost in the Shell: Stand Alone Complex - The Laughing Man - Tachikomatic Days
4427,Ghost in the Shell: Stand Alone Complex: Tachikomatic Days Fan Disc
6590,Ghost in the Shell: Stand Alone Complex: Solid State Society 3D: Tachikomatic Days
6065,Ghost in the Shell: Arise - Border:1 Ghost Pain
7593,Ghost in the Shell: Arise - Border:2 Ghost Whispers
9178,Ghost in the Shell: Arise - Border:3 Ghost Tears
6552,Ghost in the Shell: Arise - Border:4 Ghost Stands Alone
2998,Yamishibai: Japanese Ghost Stories
3316,Patema Inverted
6597,Patema Inverted: Beginning of the Day
1703,Time of Eve
1435,Time of Eve (Movie)
2827,Sheep's Song
7547,The Poem of Wind and Trees
7320,Yakyuukyou no Uta
2292,The Pilot's Love Song
7065,Obake Entotsu no Uta
6097,Ajisai no Uta
3439,Steel Angel Kurumi
8255,Steel Angel Kurumi Encore
6851,Mermaid Forest
1895,Funny Faces in High School
3095,The Ocean Waves
2938,Nadia: Secret of Blue Water
2609,Nadia: The Secret of Blue Water - The Motion Picture
3018,Cool Devices
972,Aoi Umi no Tristia
1178,Shonan Junai Gumi!
5226,Sakura Wars: ~Su~Mi~Re~
4231,Mermaid Forest OVA
8144,Mermaid's Scar
8640,Laughing Target
1382,Coo: Tooi Umi kara Kita Coo
3906,Majokko Club Yoningumi: A Kuukan kara no Alien X
2312,Tanoshii Muumin Ikka
5031,Kono Aozora ni Yakusoku wo
1767,Pokemon: Pokemon Ranger and the Temple of the Sea
5679,Muumindani no Suisei
2631,Yoshinaga-san'chi no Gargoyle Specials
6698,Rumiko Takahashi Anthology
8887,Genmukan: The Sin of Desire & Shame
7417,Kenkou Zenrakei Suieibu Umishou
2504,Momotarou: Umi no Shinpei
385,Fire Tripper
1665,Daigo of Fire Company
8545,Swan Lake
3118,Nadia: Secret of Blue Water Specials
801,Hoshi no Umi no Amuri
6759,Card Captor Sakura
5880,Cardcaptor Sakura: The Movie
5653,Card Captor Sakura Movie 2: The Sealed Card
958,Cardcaptor Sakura: Leave It to Kero-chan
1239,Cardcaptor Sakura Specials
7236,Cardfight!! Vanguard
4072,Cardfight!! Vanguard Asia Circuit
7172,Cardfight!! Vanguard: Link Joker-hen
8856,Future Card Buddyfight
1704,Cardfight!! Vanguard: Legion Mate-hen
891,Cardfight!! Vanguard Movie: Neon Messiah
8098,Cardfight!! Vanguard G
4735,The Seven Metamorphoses of Yamato Nadeshiko
8249,Otome Nadeshiko Koi Techou
5452,Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku
2637,Dragon Ball Z Special 2: The History of Trunks
6112,Zetsuai 1989
8751,Bronze: Zetsuai Since 1989
7880,Sayonara Zetsubou Sensei
6218,Digimon Adventure 02: Digimon Hurricane Jouriku!!/Chouzetsu Shinka!! Ougon no Digimental
5612,Zoku Sayonara Zetsubou Sensei
5125,Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu
3362,Hentai Express
5878,Goodbye Mr. Despair OAD
3965,Zan Sayonara Zetsubou Sensei
